Transaction ID,User ID,Transaction Amount,Transaction Date/Time,Merchant ID,Merchant Category,Payment Method,Card Type,Cardholder Name,Transaction Status,Billing Address,Shipping Address,CVV Verification,IP Address,Device Information,Location,Transaction Type,Discount/Promo Code,Refund Amount,Fraud Flag
75711f90-eece-4fef-b4ba-c2dfe225fb7e,b1ef2cd1-7ba9-4618-b93d-6b8b58569431,151.45,2024-08-12 05:22:00,0a5bdc1e-cb7e-48ff-abb6-63221bb651c4,Clothing,Debit Card,MasterCard,Kristin Brooks,Refunded,"5711 Mitchell Brook Suite 665, North Morgan, KS 34960","4289 Henry Shores, Heatherland, ND 58812",Yes,45.6.175.60,Mobile,"Lucasland, Nigeria",Purchase,FALL2024,8.43,0
a9a9b482-b966-40b1-a33e-d71f96098cb6,9d6e7776-8435-4423-90c8-23c71c858cbf,267.18,2024-07-20 03:45:47,9f9990b2-0d20-445f-8ab4-9cff7623c649,Groceries,Debit Card,Visa,Robin Barber,Refunded,"38266 Perez Wells, Yoderburgh, NY 30465","54322 Butler Trafficway Apt. 219, East Curtis, WA 69755",Yes,154.233.171.86,Mobile,"Donaldburgh, Madagascar",Purchase,WINTER2024,21.5,0
1024869b-0f6b-4e7a-ba92-ebe422bf64a2,dc753b3d-c0c8-4ba5-b272-cc5ef536add2,111.8,2024-09-19 04:18:44,d8589d15-2660-47fd-ace2-d5206ba2d755,Entertainment,Credit Card,MasterCard,Tabitha Huber,Failed,"USCGC Miller, FPO AA 24420","70481 Thomas Park Apt. 025, East Ralph, HI 31435",No,37.229.98.200,Desktop,"Port Benjamin, Monaco",Purchase,,0.0,0
0edc73a2-7395-4700-92aa-0d2ba6c1d50c,3be1d3ac-85cf-4bf7-a5c5-9a493149274b,480.46,2024-01-05 12:42:55,6418c801-a3ea-4c26-9a8c-2b77f4c61815,Groceries,Digital Wallet,American Express,Robert Benson,Failed,"447 Bridget Rapid, Port Kelly, OH 06954","061 Ayala Valleys, North Bethmouth, AR 54799",No,92.113.184.231,Mobile,"Morenoville, Dominican Republic",Refund,SPRING20,0.0,0
a5fc5dda-9af7-45d2-82e3-05118d6ec9ed,fe2ed939-bc44-4ac6-bb6c-5f5f3aec8039,329.23,2024-01-06 16:35:19,3ab83955-a871-4dc3-b076-7d4f3dd4a007,Travel,Credit Card,American Express,Samuel Clark,Completed,"Unit 2856 Box 5434, DPO AA 17055","Unit 0063 Box 1971, DPO AP 43670",No,67.67.196.240,Desktop,"Andrewsport, Croatia",Purchase,SUMMER2024,0.0,0
3ae97933-e760-49ce-bf6a-33583af47e75,077df4fa-5410-473d-bc2a-a9f7e01658c3,12.46,2024-06-09 09:01:48,5eae122e-4379-42e9-a337-a6ac6f9105f2,Health,Credit Card,MasterCard,Kim Lambert,Completed,"PSC 1276, Box 9172, APO AE 79661","509 Anderson Underpass Suite 975, Hendrixmouth, HI 30491",No,112.153.125.192,Mobile,"Santosfort, Swaziland",Refund,SPRING20,0.0,0
aa49e563-bb13-4121-9213-8d59f7e53b63,67cdea5d-40ee-4d17-b738-ed275d1eea19,118.18,2024-03-22 12:48:16,4b300510-8f7b-4e06-9965-9e375a1ba118,Travel,Credit Card,American Express,Anita Ramsey,Refunded,"7295 Danielle Harbor Apt. 887, Russellton, DE 77803","97074 Willie Harbors Suite 392, West Lindafort, ND 48774",Yes,181.128.131.160,Desktop,"Port Mark, United Kingdom",Refund,SUMMER2024,21.7,0
3fbdf766-1462-47e6-8d2c-32a67b4a131c,c154b037-0446-4565-a18d-6ad1a3162a13,227.23,2024-02-01 17:13:12,0809317f-e4ae-479b-8dd6-242f83c87cfd,Electronics,Digital Wallet,Visa,Tanya Fuller,Completed,"PSC 2591, Box 6407, APO AE 48926","9540 Cooper Hollow, Garciaberg, TX 60766",Yes,221.157.59.225,Desktop,"Quinnview, Zambia",Refund,,0.0,0
eba80d34-fff8-4b62-97c4-995afd8752f1,ca61fdf9-29d8-4c8c-9fe1-82fc8dc62779,368.22,2024-10-02 08:31:30,37eb44bc-a5af-48d0-83b7-d6df0bd2c1c5,Groceries,Credit Card,Visa,Ricardo Jackson,Completed,"3325 Sharp Falls Apt. 887, South Ronaldburgh, NC 70742","5103 Barnett Port Apt. 327, Garzaside, MP 63806",Yes,79.71.2.132,Mobile,"Lake Joshua, Belgium",Purchase,SPRING20,0.0,0
c10ef539-b528-4991-9168-43e12bd996b0,0224d638-475f-4918-b015-60e152218255,24.26,2024-03-23 05:21:13,eb8f09e5-a97a-429e-be7b-3fefb6386d99,Travel,Digital Wallet,Visa,Desiree Bass,Failed,"71242 Cummings Gardens, Loriborough, FM 02937","Unit 4361 Box 1961, DPO AP 95248",Yes,110.7.82.233,Mobile,"Coxhaven, Cameroon",Refund,FALL2024,0.0,0
